participant_id,session_id,query,timestamp_ms,results_count
206134967,6f837004-aa38-4672-a8df-d829c4be1d2b,Chat bot,1764411193640,
206134967,6f837004-aa38-4672-a8df-d829c4be1d2b,AI in modern days,1764411245402,
206134967,6f837004-aa38-4672-a8df-d829c4be1d2b,social impact A,1764411259816,
206134967,6f837004-aa38-4672-a8df-d829c4be1d2b,AI,1764411320102,
206134967,6f837004-aa38-4672-a8df-d829c4be1d2b,well being,1764411435904,
206134967,6f837004-aa38-4672-a8df-d829c4be1d2b,research,1764411467910,
206134967,6f837004-aa38-4672-a8df-d829c4be1d2b,chatbot,1764411477951,
206502106,10111113-bd67-4006-8572-bb8661439f3a,technology,1764790837774,
206502106,10111113-bd67-4006-8572-bb8661439f3a,technology affect life,1764790846726,
206502106,10111113-bd67-4006-8572-bb8661439f3a,technology,1764790870278,
206535445,f0b5674b-548c-4efa-a6ae-910e897bcc7b,Human agency,1763769283533,
206535445,f0b5674b-548c-4efa-a6ae-910e897bcc7b,Technology and society,1763769312737,
206560807,63038148-f29a-4c01-8f26-f3748ff77d65,universal par,1763914574256,
206560807,63038148-f29a-4c01-8f26-f3748ff77d65,universal walfare pay,1763914591023,
206560807,63038148-f29a-4c01-8f26-f3748ff77d65,AI and welfare,1763914613283,
206560807,63038148-f29a-4c01-8f26-f3748ff77d65,basic income,1763915102580,
206692196,2c97959a-1733-4f80-8a4e-997fc2ded9ee,AI robots,1764012946567,
206692196,2c97959a-1733-4f80-8a4e-997fc2ded9ee,robot,1764012961463,
206692196,2c97959a-1733-4f80-8a4e-997fc2ded9ee,robot like human,1764012980663,
206692196,2c97959a-1733-4f80-8a4e-997fc2ded9ee,robot AI,1764012988505,
206692196,2c97959a-1733-4f80-8a4e-997fc2ded9ee,AI,1764012993659,
206692196,2c97959a-1733-4f80-8a4e-997fc2ded9ee,human robot,1764013019631,
206692196,2c97959a-1733-4f80-8a4e-997fc2ded9ee,robot,1764013265752,
206693830,57ea58ef-9f64-4bfa-8097-a0e406d30d2a,brain and AI,1763924945127,
